Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
1,1996,https://www.imdb.com/title/tt0116860/?ref_=adv_li_tt,"Pretty Village, Pretty Flame",115,"Comedy, Drama, History",8.6,,17024,,Srdjan Dragojevic,Dragan Bjelogrlic,Nikola Kojo,Dragan Maksimovic,Zoran Cvijanovic
2,1996,https://www.imdb.com/title/tt2325915/?ref_=adv_li_tt,Poove Unakkaga,150,"Comedy, Drama, Romance",8.6,,6743,,Vikraman,Joseph Vijay,Sangeetha,Anju Aravind,Madhan Bob
3,1996,https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt,Trainspotting,93,Drama,8.1,83.0,697857,16.50M,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd
4,1996,https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt,Fargo,98,"Crime, Thriller",8.1,86.0,689199,24.61M,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi
5,1996,https://www.imdb.com/title/tt0117905/?ref_=adv_li_tt,"Comrades, Almost a Love Story",118,"Drama, Romance",8.1,,6795,,Peter Ho-Sun Chan,Maggie Cheung,Leon Lai,Eric Tsang,Kristy Yeung
6,1996,https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt,The Bandit,128,"Crime, Drama, Thriller",8.1,,70720,,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim
7,1996,https://www.imdb.com/title/tt0116630/?ref_=adv_li_tt,Indian,185,"Action, Drama, Thriller",8.1,,13076,,S. Shankar,Kamal Haasan,Sukanya,Manisha Koirala,Urmila Matondkar
8,1996,https://www.imdb.com/title/tt0117666/?ref_=adv_li_tt,Sling Blade,135,Drama,8.0,84.0,95764,24.48M,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter
9,1996,https://www.imdb.com/title/tt0117589/?ref_=adv_li_tt,Secrets & Lies,136,"Comedy, Drama",8.0,91.0,44704,13.42M,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook
10,1996,https://www.imdb.com/title/tt0115751/?ref_=adv_li_tt,Breaking the Waves,159,Drama,7.8,81.0,68857,4.04M,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr
