Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
1,"Pretty Village, Pretty Flame",1996,115,Comedy, Drama, History,8.6,17024,Srdjan Dragojevic,Dragan Bjelogrlic,Nikola Kojo,Dragan Maksimovic,Zoran Cvijanovic
2,Poove Unakkaga,1996,150,Comedy, Drama, Romance,8.6,6743,Vikraman,Joseph Vijay,Sangeetha,Anju Aravind,Madhan Bob
3,Trainspotting,1996,93,Drama,,,8.1,697857,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd
4,Fargo,1996,98,Crime, Thriller,,8.1,689199,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi
5,"Comrades, Almost a Love Story",1996,118,Drama, Romance,,8.1,6795,Peter Ho-Sun Chan,Maggie Cheung,Leon Lai,Eric Tsang,Kristy Yeung
6,The Bandit,1996,128,Crime, Drama, Thriller,8.1,70720,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim
7,Indian,1996,185,Action, Drama, Thriller,8.1,13076,S. Shankar,Kamal Haasan,Sukanya,Manisha Koirala,Urmila Matondkar
8,Sling Blade,1996,135,Drama,,,8.0,95764,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter
9,Secrets & Lies,1996,136,Comedy, Drama,,8.0,44704,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook
10,Breaking the Waves,1996,159,Drama,,,7.8,68857,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr
11,Primal Fear,1996,129,Crime, Drama, Mystery,7.7,229583,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney
12,Hamlet,1996,242,Drama,,,7.7,38886,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet
13,Kolya,1996,105,Comedy, Drama, Music,7.7,15827,Jan Sverák,Zdenek Sverák,Andrey Khalimon,Libuse Safránková,Ondrej Vetchý
14,Shall We Dance?,1996,136,Comedy, Drama, Music,7.7,11339,Masayuki Suô,Kôji Yakusho,Tamiyo Kusakari,Naoto Takenaka,Eri Watanabe
